year,cid,eci,gini,xgini,gdppc
1965.0,aut,2.139718294,34.872840000000004,40.336651301590315,13000.0
1965.0,aze,,,,
1965.0,bel,,32.33705,42.0971030063655,
1965.0,bgd,,,,
1965.0,bgr,0.907729328,28.48755,43.952694703117245,
1965.0,bhr,,,47.7129546524065,
1965.0,bih,,,,
1965.0,blr,,,,
1965.0,bol,-0.609633863,,50.05848697662365,992.0
1965.0,bra,-0.616321921,,47.783847866027386,1860.0
1965.0,bwa,,,,
1965.0,can,1.002901077,34.83282,41.11723632434262,15600.0
1965.0,che,2.160390139,,38.97886288378903,
1965.0,chl,0.155292138,45.57219,47.050420137973575,2620.0
1965.0,chn,0.7229244109999999,,44.828453322311155,118.0
1965.0,civ,-0.70408082,,48.43170608670073,1080.0
1965.0,cmr,-1.128606439,,48.5641303344049,721.0
1965.0,cog,-1.005962849,,47.07269945464522,986.0
1965.0,col,0.185326427,44.27187,48.64828661527115,1570.0
1965.0,cri,0.859346211,44.58221,47.369025610825965,1990.0
1965.0,cub,0.094194338,,46.55649824882251,
1965.0,cyp,,44.41268,45.54734999247099,
1965.0,cze,,22.95775,,
1965.0,deu,,30.83281,39.801504671400046,
1965.0,dnk,1.51457727,30.30865,39.90567414513825,21400.0
1965.0,dom,-0.7957012059999999,42.55709,46.46941142281433,1050.0
1965.0,dza,-0.106209151,,46.712381977351065,1630.0
1965.0,ecu,-0.455689937,49.0736,47.60155060602663,1720.0
1965.0,egy,0.002449532,42.89025,48.73291100359074,406.0
1965.0,esp,0.896468461,40.07933,45.113269961367436,8850.0
1965.0,est,,,,
1965.0,eth,-1.039592028,,48.18749550490364,
1965.0,fin,1.533042669,32.99495,39.02578614088625,12700.0
1965.0,fra,1.892696857,,41.199533419463,13800.0
1965.0,gab,,,46.541968818907186,
1965.0,gbr,2.078021049,,40.10072975562139,15200.0
1965.0,geo,,,,
1965.0,gha,-0.5072706339999999,48.67464,50.415711175279036,484.0
1965.0,gin,-1.088605165,,44.07219335101282,
1965.0,grc,0.330380768,43.96863,45.339112344129504,7690.0
1965.0,gtm,0.41570735,,48.02261103726005,1320.0
1965.0,hnd,-0.237473041,43.37184,46.30218706406208,888.0
1965.0,hrv,,,,
1965.0,hun,1.520458102,29.38173,42.491418768129655,3510.0
1965.0,idn,-0.8951650259999999,,47.167387087776774,279.0
1965.0,irl,1.333247423,36.20784,41.176914682665135,
1965.0,irn,-0.629941046,50.31984,48.42876392747179,1400.0
1965.0,isr,0.976909459,35.80823,46.396821166275046,7430.0
1965.0,ita,1.891257405,,42.19692300014837,11200.0
1965.0,jam,-0.387724608,45.83571,46.7471562168289,
1965.0,jor,0.332256079,47.58929000000001,46.78844619979061,
1965.0,jpn,1.997784853,35.37533,41.812537686171254,10400.0
1965.0,kaz,,,,
1965.0,ken,-0.7295188309999999,51.84309,47.79767930848229,323.0
1965.0,khm,-0.995591938,,46.88663509782338,
1965.0,kor,1.010280132,43.81621,45.51368411193946,1720.0
1965.0,kwt,,,48.38026209103376,
1965.0,lao,-0.955540299,,49.01272739908365,
1965.0,lbn,0.311392426,,46.438189271886635,
1965.0,lby,-2.019376278,51.91093,48.38334655947114,
1965.0,lka,-0.6344423889999999,,46.4362433248019,353.0
1965.0,ltu,,,,
1965.0,lva,,,,
1965.0,mar,-0.1707059,,47.63593404670107,798.0
1965.0,mda,,,,
1965.0,mdg,-0.95989114,,47.116887733190566,450.0
1965.0,mex,0.338214874,,46.21001629420324,4030.0
1965.0,mkd,,,,
1965.0,mmr,-0.837116361,,47.97659166261396,
1965.0,mng,-0.195613101,,43.13883485063845,
1965.0,moz,-0.948368728,,47.97263248387214,
1965.0,mrt,,,44.19813020840437,
1965.0,mus,,,47.60168190754136,
1965.0,mys,-0.541425884,,46.75566805829853,1170.0
1965.0,nam,,,,
1965.0,nga,-1.232153058,45.30339,48.13885881464336,627.0
1965.0,nic,-0.104424767,42.91357,48.197509567902756,1730.0
1965.0,nld,1.5436249969999998,31.26408,42.14194428637017,16200.0
1965.0,nor,1.50527072,31.68947,42.46885501401656,20900.0
1965.0,nzl,0.6409502029999999,33.77578,40.94945334308578,
1965.0,omn,,,48.26538460992822,
1965.0,pak,0.066963032,44.0069,48.41705541514061,276.0
